SKU,URLIMG,POS
VLJ72093,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ72093_3f836ade-6b6b-4d65-81b1-c75b05667e4b.webp?v=1730679476,1
VLJ72085,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ72085.webp?v=1730679381,1
VLJ72086,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ72086.webp?v=1730679292,1
VLJ72083,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ72083.webp?v=1730679223,1
VLJ72087,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ72087.webp?v=1730679115,1
VLJ72084,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ72084.webp?v=1730679035,1
VLJ72089,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ72089.webp?v=1730678684,1
VLJ72090,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ72090.webp?v=1730678575,1
VLJ72091,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ72091.webp?v=1730678415,1
VLJ72094,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ72094.webp?v=1730678289,1
VLJ74601,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VLJ74601.webp?v=1730677916,1
VLJ74101,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/VAL74101.webp?v=1730071833,1
TAM-87177,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/TAM87177.webp?v=1730063174,1
GUZ-SM209,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/guzsm209.jpg?v=1730062967,1
ALC307,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/alc307.jpg?v=1730062564,1
AK460,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/AK460.jpg?v=1730062104,1
AK454,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/AK454.jpg?v=1730060058,1
AK450,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/AK450.jpg?v=1730059982,1
GNZMC216,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/MC216.webp?v=1730059171,1
GNZMC213,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/MC213.webp?v=1730058926,1
GNZMC215,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/MC215.webp?v=1730058837,1
GNZMC214,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/MC214.webp?v=1730053198,1
GNZMC219,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/MC219.webp?v=1730052919,1
GNZMC217,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/MC217.webp?v=1730052724,1
GNZMC218,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/MC218.webp?v=1729834701,1
DSPT02,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/t02.webp?v=1729834232,1
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/t02_9a84b1aa-d110-450a-964e-33cf600fad66.webp?v=1729834246,2
DSPT06,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/t06.webp?v=1729827394,1
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/t06_3d815bd6-44db-4853-8042-5644b9ce64cd.webp?v=1729827409,2
TAPWP8071,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/TAPWP8071_1.webp?v=1729659238,1
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/TAPWP8071_2.webp?v=1729659238,2
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/TAPWP8071_3.webp?v=1729659238,3
TAPWP8062,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/TAPWP8062_1.webp?v=1729658936,1
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/TAPWP8062_2.webp?v=1729658936,2
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/TAPWP8062_3.webp?v=1729658936,3
MP803,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/MP803.jpg?v=1729639824,1
AKRCS128,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/RC128_1.jpg?v=1729639588,1
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/RCS128_2.jpg?v=1729639588,2
AKRCS113,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/RCS113_1.jpg?v=1729639036,1
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/RCS113_2.jpg?v=1729639036,2
AKRCS110,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/RCS110_1.jpg?v=1729638806,1
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/RCS110_2.jpg?v=1729638806,2
AKRCS109,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/RCS109_1.jpg?v=1729638238,1
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/RCS109_2.jpg?v=1729638239,2
AKRCS108,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/RCS108_1.jpg?v=1729637027,1
,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/RCS108_2.jpg?v=1729637027,2
